session_id,idx,time_ms,map_id,position_x,position_y,position_z
Analytics_Data_Attempt_1,8235,204000,Cidades-Inteligentes-02-Periferia,20.6,-98.56,15.16
Analytics_Data_Attempt_1,8343,205000,Cidades-Inteligentes-02-Periferia,29.57,-98.56,15.01
Analytics_Data_Attempt_1,8448,206000,Cidades-Inteligentes-02-Periferia,38.58,-98.56,15.36
Analytics_Data_Attempt_1,8523,207000,Cidades-Inteligentes-02-Periferia,44.92,-98.56,14.82
Analytics_Data_Attempt_1,8624,208000,Cidades-Inteligentes-02-Periferia,53.5,-98.56,14.92
Analytics_Data_Attempt_1,8733,209000,Cidades-Inteligentes-02-Periferia,59.7,-98.56,15.34
Analytics_Data_Attempt_1,8839,210000,Cidades-Inteligentes-02-Periferia,59.46,-98.56,13.73
Analytics_Data_Attempt_1,8945,211000,Cidades-Inteligentes-02-Periferia,59.57,-98.56,14.9
Analytics_Data_Attempt_1,9054,212000,Cidades-Inteligentes-02-Periferia,58.31,-98.56,14.71
Analytics_Data_Attempt_1,9129,213000,Cidades-Inteligentes-02-Periferia,64.59,-98.56,12.06
Analytics_Data_Attempt_1,9236,214000,Cidades-Inteligentes-02-Periferia,60.78,-98.56,13.51
Analytics_Data_Attempt_1,9378,215000,Cidades-Inteligentes-02-Periferia,58.26,-98.56,14.35
Analytics_Data_Attempt_1,9406,216000,Cidades-Inteligentes-02-Periferia,59.11,-98.56,15.74
Analytics_Data_Attempt_1,9513,217000,Cidades-Inteligentes-02-Periferia,65.76,-98.56,19.91
Analytics_Data_Attempt_1,9624,218000,Cidades-Inteligentes-02-Periferia,66.77,-98.56,23.46
Analytics_Data_Attempt_1,9692,219000,Cidades-Inteligentes-02-Periferia,64.55,-98.56,20.62
Analytics_Data_Attempt_1,9800,220000,Cidades-Inteligentes-02-Periferia,61.19,-98.56,12.76
Analytics_Data_Attempt_1,9910,221000,Cidades-Inteligentes-02-Periferia,52.45,-98.56,13.67
Analytics_Data_Attempt_1,10018,222000,Cidades-Inteligentes-02-Periferia,43.49,-98.56,12.83
Analytics_Data_Attempt_1,10119,223000,Cidades-Inteligentes-02-Periferia,38.6,-98.56,16.48
Analytics_Data_Attempt_1,10181,224000,Cidades-Inteligentes-02-Periferia,40.56,-98.56,15.49
Analytics_Data_Attempt_1,10287,225000,Cidades-Inteligentes-02-Periferia,49.17,-98.56,16.82
Analytics_Data_Attempt_1,10394,226000,Cidades-Inteligentes-02-Periferia,57.97,-98.56,17.89
Analytics_Data_Attempt_1,10483,227000,Cidades-Inteligentes-02-Periferia,62.32,-98.56,19.73
Analytics_Data_Attempt_1,10529,228000,Cidades-Inteligentes-02-Periferia,60.79,-98.56,18.52
Analytics_Data_Attempt_1,10565,229000,Cidades-Inteligentes-02-Periferia,59.55,-98.56,17.43
Analytics_Data_Attempt_1,10610,230000,Cidades-Inteligentes-02-Periferia,59.16,-98.56,16.82
Analytics_Data_Attempt_1,10642,231000,Cidades-Inteligentes-02-Periferia,57.96,-98.56,15.78
Analytics_Data_Attempt_1,10739,232000,Cidades-Inteligentes-02-Periferia,52.12,-98.56,12.13
Analytics_Data_Attempt_1,10846,233000,Cidades-Inteligentes-02-Periferia,43.24,-98.56,12.11
Analytics_Data_Attempt_1,10945,234000,Cidades-Inteligentes-02-Periferia,35.56,-98.56,12.11
Analytics_Data_Attempt_1,11045,235000,Cidades-Inteligentes-02-Periferia,28.08,-98.56,12.11
Analytics_Data_Attempt_1,11146,236000,Cidades-Inteligentes-02-Periferia,19.67,-98.56,12.12
Analytics_Data_Attempt_1,11211,237000,Cidades-Inteligentes-02-Periferia,16.24,-98.56,12.98
Analytics_Data_Attempt_1,11323,238000,Cidades-Inteligentes-02-Periferia,8.55,-98.56,13.67
Analytics_Data_Attempt_1,11440,239000,Cidades-Inteligentes-02-Periferia,-0.34,-98.56,13.04
Analytics_Data_Attempt_1,11495,240000,Cidades-Inteligentes-02-Periferia,-1.94,-98.56,13.16
Analytics_Data_Attempt_1,11605,241000,Cidades-Inteligentes-02-Periferia,-1.94,-98.56,13.38
